text,label
"Scientists announced a new study showing that regular exercise can support cardiovascular health.",1
"The national weather service issued a forecast for heavy rain across several districts.",1
"The university opened a new laboratory for artificial intelligence research.",1
"Researchers published findings from a peer reviewed study on renewable energy.",1
"The city council approved funding for improvements to public libraries.",1
"Officials announced that a new public transport route will begin service next month.",1
"The technology company released a security update for its software.",1
"Doctors at the hospital reported the results of a clinical study in a medical journal.",1
"The space agency confirmed the launch schedule for its next research mission.",1
"The education department released updated examination guidelines on its website.",1
"Scientists discovered a miracle fruit that makes humans immortal overnight.",0
"Government secretly announces that every citizen will receive one million dollars tomorrow.",0
"Doctors claim that drinking only cold water can cure every disease instantly.",0
"Aliens landed in the capital and signed a secret agreement with the government.",0
"A magic phone application can make anyone fluent in every language in five minutes.",0
"Scientists say sleeping for two minutes a day is enough for perfect health.",0
"Secret experts reveal that the moon will disappear permanently next week.",0
"One spoon of ordinary salt can reportedly make a person live forever.",0
"Officials confirm that gravity will stop working for three hours tomorrow.",0
"Researchers prove that eating chocolate guarantees perfect exam scores.",0
"Local authorities announced a new recycling program for schools.",1
"The research team presented its results at an international academic conference.",1
"The bank published a notice describing changes to its customer service hours.",1
"The hospital opened a new outpatient department for routine consultations.",1
"The company reported quarterly revenue in its official financial statement.",1
"The railway department announced maintenance work on a regional line.",1
"Police issued a public advisory asking residents to avoid a flooded road.",1
"The museum announced an exhibition featuring works from local artists.",1
"The university announced scholarships for eligible students through its official portal.",1
"The court published its judgment in a publicly available case document.",1
"A secret machine can turn paper into unlimited money according to anonymous experts.",0
"Scientists confirm that looking at a red light for ten seconds gives superhuman vision.",0
"A viral message claims that airports will close worldwide for an entire year.",0
"An invisible medicine supposedly cures every infection after one drop.",0
"Anonymous sources say computers will become edible within days.",0
"A hidden law allegedly gives everyone free luxury cars this weekend.",0
"Experts claim that standing upside down for one minute permanently increases intelligence.",0
"A mysterious signal proves that every television can read human thoughts.",0
"Viral posts claim that a spoon of sugar can replace sleep for a week.",0
"An unknown scientist reportedly invented a device that makes time travel available to everyone.",0
